County,Year,Jail.Population
Albany,2010,698
Albany,2011,614
Albany,2012,622
Albany,2013,629
Albany,2014,621
Albany,2015,578
Albany,2016,571
Albany,2017,576
Albany,2018,587
Albany,2019,416
Allegany,2010,138
Allegany,2011,129
Allegany,2012,135
Allegany,2013,131
Allegany,2014,124
Allegany,2015,116
Allegany,2016,122
Allegany,2017,111
Allegany,2018,107
Allegany,2019,84
Broome,2010,446
Broome,2011,459
Broome,2012,501
Broome,2013,517
Broome,2014,481
Broome,2015,492
Broome,2016,517
Broome,2017,500
Broome,2018,457
Broome,2019,441
Cattaraugus,2010,110
Cattaraugus,2011,127
Cattaraugus,2012,118
Cattaraugus,2013,120
Cattaraugus,2014,129
Cattaraugus,2015,128
Cattaraugus,2016,134
Cattaraugus,2017,131
Cattaraugus,2018,133
Cattaraugus,2019,135
Cayuga,2010,184
Cayuga,2011,192
Cayuga,2012,190
Cayuga,2013,191
Cayuga,2014,183
Cayuga,2015,163
Cayuga,2016,164
Cayuga,2017,156
Cayuga,2018,156
Cayuga,2019,145
Chautauqua,2010,281
Chautauqua,2011,272
Chautauqua,2012,287
Chautauqua,2013,279
Chautauqua,2014,283
Chautauqua,2015,268
Chautauqua,2016,275
Chautauqua,2017,282
Chautauqua,2018,260
Chautauqua,2019,236
Chemung,2010,181
Chemung,2011,163
Chemung,2012,189
Chemung,2013,187
Chemung,2014,160
Chemung,2015,167
Chemung,2016,150
Chemung,2017,164
Chemung,2018,155
Chemung,2019,132
Chenango,2010,90
Chenango,2011,98
Chenango,2012,84
Chenango,2013,104
Chenango,2014,99
Chenango,2015,95
Chenango,2016,99
Chenango,2017,98
Chenango,2018,93
Chenango,2019,87
Clinton,2010,204
Clinton,2011,207
Clinton,2012,209
Clinton,2013,221
Clinton,2014,216
Clinton,2015,187
Clinton,2016,208
Clinton,2017,207
Clinton,2018,217
Clinton,2019,176
Columbia,2010,97
Columbia,2011,90
Columbia,2012,90
Columbia,2013,75
Columbia,2014,72
Columbia,2015,68
Columbia,2016,83
Columbia,2017,81
Columbia,2018,70
Columbia,2019,68
Cortland,2010,69
Cortland,2011,64
Cortland,2012,68
Cortland,2013,73
Cortland,2014,76
Cortland,2015,89
Cortland,2016,91
Cortland,2017,93
Cortland,2018,92
Cortland,2019,76
Delaware,2010,66
Delaware,2011,59
Delaware,2012,64
Delaware,2013,71
Delaware,2014,83
Delaware,2015,75
Delaware,2016,80
Delaware,2017,81
Delaware,2018,68
Delaware,2019,58
Dutchess,2010,380
Dutchess,2011,411
Dutchess,2012,446
Dutchess,2013,444
Dutchess,2014,469
Dutchess,2015,434
Dutchess,2016,401
Dutchess,2017,423
Dutchess,2018,379
Dutchess,2019,313
Erie,2010,1335
Erie,2011,1297
Erie,2012,1326
Erie,2013,1284
Erie,2014,1171
Erie,2015,1201
Erie,2016,1183
Erie,2017,1070
Erie,2018,958
Erie,2019,852
Essex,2010,71
Essex,2011,73
Essex,2012,66
Essex,2013,79
Essex,2014,81
Essex,2015,62
Essex,2016,70
Essex,2017,72
Essex,2018,73
Essex,2019,71
Franklin,2010,114
Franklin,2011,117
Franklin,2012,114
Franklin,2013,116
Franklin,2014,116
Franklin,2015,106
Franklin,2016,110
Franklin,2017,93
Franklin,2018,91
Franklin,2019,81
Fulton,2010,75
Fulton,2011,84
Fulton,2012,82
Fulton,2013,92
Fulton,2014,90
Fulton,2015,72
Fulton,2016,87
Fulton,2017,86
Fulton,2018,100
Fulton,2019,82
Genesee,2010,77
Genesee,2011,79
Genesee,2012,91
Genesee,2013,88
Genesee,2014,84
Genesee,2015,80
Genesee,2016,92
Genesee,2017,97
Genesee,2018,105
Genesee,2019,104
Greene,2010,78
Greene,2011,79
Greene,2012,70
Greene,2013,85
Greene,2014,71
Greene,2015,76
Greene,2016,59
Greene,2017,40
Greene,2018,48
Greene,2019,35
Hamilton,2010,2
Hamilton,2011,3
Hamilton,2012,4
Hamilton,2013,5
Hamilton,2014,5
Hamilton,2015,3
Hamilton,2016,2
Hamilton,2017,2
Hamilton,2018,2
Hamilton,2019,2
Herkimer,2010,55
Herkimer,2011,57
Herkimer,2012,70
Herkimer,2013,83
Herkimer,2014,83
Herkimer,2015,76
Herkimer,2016,64
Herkimer,2017,70
Herkimer,2018,62
Herkimer,2019,52
Jefferson,2010,169
Jefferson,2011,171
Jefferson,2012,158
Jefferson,2013,180
Jefferson,2014,177
Jefferson,2015,173
Jefferson,2016,177
Jefferson,2017,185
Jefferson,2018,167
Jefferson,2019,129
Lewis,2010,27
Lewis,2011,29
Lewis,2012,28
Lewis,2013,31
Lewis,2014,30
Lewis,2015,31
Lewis,2016,34
Lewis,2017,36
Lewis,2018,31
Lewis,2019,34
Livingston,2010,100
Livingston,2011,95
Livingston,2012,104
Livingston,2013,116
Livingston,2014,124
Livingston,2015,132
Livingston,2016,139
Livingston,2017,128
Livingston,2018,132
Livingston,2019,122
Madison,2010,86
Madison,2011,89
Madison,2012,96
Madison,2013,89
Madison,2014,96
Madison,2015,95
Madison,2016,80
Madison,2017,82
Madison,2018,91
Madison,2019,90
Monroe,2010,1401
Monroe,2011,1350
Monroe,2012,1342
Monroe,2013,1312
Monroe,2014,1339
Monroe,2015,1308
Monroe,2016,1318
Monroe,2017,1206
Monroe,2018,1085
Monroe,2019,966
Montgomery,2010,115
Montgomery,2011,124
Montgomery,2012,131
Montgomery,2013,126
Montgomery,2014,127
Montgomery,2015,126
Montgomery,2016,90
Montgomery,2017,96
Montgomery,2018,100
Montgomery,2019,102
Nassau,2010,1607
Nassau,2011,1467
Nassau,2012,1417
Nassau,2013,1294
Nassau,2014,1218
Nassau,2015,1148
Nassau,2016,1155
Nassau,2017,1188
Nassau,2018,1094
Nassau,2019,1025
Niagara,2010,468
Niagara,2011,437
Niagara,2012,451
Niagara,2013,460
Niagara,2014,437
Niagara,2015,415
Niagara,2016,416
Niagara,2017,428
Niagara,2018,380
Niagara,2019,346
Oneida,2010,412
Oneida,2011,406
Oneida,2012,424
Oneida,2013,434
Oneida,2014,432
Oneida,2015,419
Oneida,2016,454
Oneida,2017,491
Oneida,2018,395
Oneida,2019,346
Onondaga,2010,1078
Onondaga,2011,1094
Onondaga,2012,1112
Onondaga,2013,1118
Onondaga,2014,1111
Onondaga,2015,1060
Onondaga,2016,1073
Onondaga,2017,1060
Onondaga,2018,938
Onondaga,2019,784
Ontario,2010,198
Ontario,2011,196
Ontario,2012,198
Ontario,2013,217
Ontario,2014,211
Ontario,2015,212
Ontario,2016,219
Ontario,2017,179
Ontario,2018,162
Ontario,2019,139
Orange,2010,606
Orange,2011,574
Orange,2012,590
Orange,2013,582
Orange,2014,599
Orange,2015,552
Orange,2016,663
Orange,2017,681
Orange,2018,695
Orange,2019,618
Orleans,2010,73
Orleans,2011,76
Orleans,2012,75
Orleans,2013,62
Orleans,2014,61
Orleans,2015,64
Orleans,2016,63
Orleans,2017,68
Orleans,2018,60
Orleans,2019,58
Oswego,2010,137
Oswego,2011,166
Oswego,2012,187
Oswego,2013,165
Oswego,2014,156
Oswego,2015,171
Oswego,2016,168
Oswego,2017,152
Oswego,2018,169
Oswego,2019,135
Otsego,2010,69
Otsego,2011,70
Otsego,2012,77
Otsego,2013,71
Otsego,2014,68
Otsego,2015,54
Otsego,2016,70
Otsego,2017,57
Otsego,2018,65
Otsego,2019,54
Putnam,2010,102
Putnam,2011,114
Putnam,2012,101
Putnam,2013,109
Putnam,2014,104
Putnam,2015,87
Putnam,2016,83
Putnam,2017,84
Putnam,2018,75
Putnam,2019,62
Rensselaer,2010,217
Rensselaer,2011,265
Rensselaer,2012,309
Rensselaer,2013,299
Rensselaer,2014,317
Rensselaer,2015,314
Rensselaer,2016,309
Rensselaer,2017,298
Rensselaer,2018,321
Rensselaer,2019,303
Rockland,2010,212
Rockland,2011,247
Rockland,2012,240
Rockland,2013,227
Rockland,2014,183
Rockland,2015,171
Rockland,2016,169
Rockland,2017,177
Rockland,2018,150
Rockland,2019,134
Saratoga,2010,164
Saratoga,2011,150
Saratoga,2012,156
Saratoga,2013,187
Saratoga,2014,194
Saratoga,2015,194
Saratoga,2016,184
Saratoga,2017,184
Saratoga,2018,188
Saratoga,2019,181
Schenectady,2010,286
Schenectady,2011,319
Schenectady,2012,314
Schenectady,2013,326
Schenectady,2014,322
Schenectady,2015,329
Schenectady,2016,338
Schenectady,2017,292
Schenectady,2018,275
Schenectady,2019,228
Schoharie,2010,32
Schoharie,2011,28
Schoharie,2012,26
Schoharie,2013,31
Schoharie,2014,29
Schoharie,2015,30
Schoharie,2016,34
Schoharie,2017,29
Schoharie,2018,19
Schoharie,2019,18
Schuyler,2010,21
Schuyler,2011,21
Schuyler,2012,22
Schuyler,2013,25
Schuyler,2014,18
Schuyler,2015,15
Schuyler,2016,28
Schuyler,2017,21
Schuyler,2018,17
Schuyler,2019,15
Seneca,2010,82
Seneca,2011,77
Seneca,2012,77
Seneca,2013,82
Seneca,2014,81
Seneca,2015,68
Seneca,2016,74
Seneca,2017,79
Seneca,2018,76
Seneca,2019,60
St.,2010,125
St.,2011,135
St.,2012,156
St.,2013,163
St.,2014,152
St.,2015,155
St.,2016,143
St.,2017,182
St.,2018,139
St.,2019,119
Steuben,2010,167
Steuben,2011,176
Steuben,2012,190
Steuben,2013,192
Steuben,2014,178
Steuben,2015,203
Steuben,2016,198
Steuben,2017,208
Steuben,2018,189
Steuben,2019,164
Suffolk,2010,1704
Suffolk,2011,1750
Suffolk,2012,1662
Suffolk,2013,1543
Suffolk,2014,1412
Suffolk,2015,1351
Suffolk,2016,1238
Suffolk,2017,1296
Suffolk,2018,1290
Suffolk,2019,1084
Sullivan,2010,171
Sullivan,2011,161
Sullivan,2012,156
Sullivan,2013,191
Sullivan,2014,163
Sullivan,2015,151
Sullivan,2016,138
Sullivan,2017,137
Sullivan,2018,140
Sullivan,2019,150
Tioga,2010,79
Tioga,2011,82
Tioga,2012,80
Tioga,2013,86
Tioga,2014,73
Tioga,2015,61
Tioga,2016,77
Tioga,2017,79
Tioga,2018,61
Tioga,2019,56
Tompkins,2010,82
Tompkins,2011,86
Tompkins,2012,90
Tompkins,2013,91
Tompkins,2014,87
Tompkins,2015,92
Tompkins,2016,80
Tompkins,2017,76
Tompkins,2018,72
Tompkins,2019,61
Ulster,2010,301
Ulster,2011,301
Ulster,2012,324
Ulster,2013,290
Ulster,2014,303
Ulster,2015,255
Ulster,2016,252
Ulster,2017,271
Ulster,2018,247
Ulster,2019,212
Warren,2010,129
Warren,2011,139
Warren,2012,133
Warren,2013,128
Warren,2014,128
Warren,2015,130
Warren,2016,124
Warren,2017,117
Warren,2018,140
Warren,2019,105
Washington,2010,103
Washington,2011,85
Washington,2012,94
Washington,2013,121
Washington,2014,105
Washington,2015,92
Washington,2016,76
Washington,2017,87
Washington,2018,81
Washington,2019,70
Wayne,2010,129
Wayne,2011,132
Wayne,2012,108
Wayne,2013,109
Wayne,2014,115
Wayne,2015,121
Wayne,2016,98
Wayne,2017,89
Wayne,2018,93
Wayne,2019,68
Westchester,2010,1384
Westchester,2011,1465
Westchester,2012,1454
Westchester,2013,1320
Westchester,2014,1205
Westchester,2015,1100
Westchester,2016,1031
Westchester,2017,1040
Westchester,2018,1028
Westchester,2019,918
Wyoming,2010,56
Wyoming,2011,66
Wyoming,2012,63
Wyoming,2013,57
Wyoming,2014,65
Wyoming,2015,52
Wyoming,2016,49
Wyoming,2017,47
Wyoming,2018,56
Wyoming,2019,42
Yates,2010,48
Yates,2011,53
Yates,2012,49
Yates,2013,49
Yates,2014,47
Yates,2015,52
Yates,2016,46
Yates,2017,42
Yates,2018,42
Yates,2019,43
